Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:03:46 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),4.380534,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+06
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,6.5 kHz,75.52 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+3.220021263e-02,
+2.173913043e+03,+9.341615076e-05,
+4.347826087e+03,+1.040154473e-04,
+6.521739130e+03,+7.552166924e-05,
+8.695652174e+03,+4.824609073e-05,
+1.086956522e+04,+5.729930101e-05,
+1.304347826e+04,+4.354685740e-05,
+1.521739130e+04,+4.821296271e-05,
+1.739130435e+04,+4.376335386e-05,
+1.956521739e+04,+4.177326526e-05,
+2.173913043e+04,+5.299516930e-05,
+2.391304348e+04,+4.002129096e-05,
+2.608695652e+04,+4.365109874e-05,
+2.826086957e+04,+3.888966477e-05,
+3.043478261e+04,+5.482677205e-05,
+3.260869565e+04,+1.060811417e-04,
+3.478260870e+04,+6.217750006e-05,
+3.695652174e+04,+5.568680753e-05,
+3.913043478e+04,+8.013360548e-05,
+4.130434783e+04,+7.823359944e-05,
+4.347826087e+04,+6.699478800e-05,
+4.565217391e+04,+7.318052307e-05,
+4.782608696e+04,+7.211761706e-05,
+5.000000000e+04,+7.132229556e-05,
+5.217391304e+04,+8.344216439e-05,
+5.434782609e+04,+7.116278670e-05,
+5.652173913e+04,+1.010834036e-04,
+5.869565217e+04,+1.023244065e-04,
+6.086956522e+04,+7.054857108e-05,
+6.304347826e+04,+6.705448440e-05,
+6.521739130e+04,+8.653248390e-05,
+6.739130435e+04,+8.485222601e-05,
+6.956521739e+04,+8.307446074e-05,
+7.173913043e+04,+1.275312882e-04,
+7.391304348e+04,+8.726109938e-05,
+7.608695652e+04,+1.002028414e-04,
+7.826086957e+04,+1.000276692e-04,
+8.043478261e+04,+1.001091495e-04,
+8.260869565e+04,+9.042793826e-05,
+8.478260870e+04,+9.415946223e-05,
+8.695652174e+04,+1.178266836e-04,
+8.913043478e+04,+1.234137395e-04,
+9.130434783e+04,+9.667796855e-05,
+9.347826087e+04,+1.261393718e-04,
+9.565217391e+04,+1.033851281e-04,
+9.782608696e+04,+1.006396401e-04,
+1.000000000e+05,+9.246753703e-05,
+1.021739130e+05,+8.260506355e-05,
+1.043478261e+05,+1.193741760e-04,
+1.065217391e+05,+1.087173200e-04,
+1.086956522e+05,+9.787485781e-05,
+1.108695652e+05,+8.972511705e-05,
+1.130434783e+05,+1.219930186e-04,
+1.152173913e+05,+1.184848805e-04,
+1.173913043e+05,+1.011847619e-04,
+1.195652174e+05,+1.122212588e-04,
+1.217391304e+05,+1.186052502e-04,
+1.239130435e+05,+1.076150288e-04,
+1.260869565e+05,+1.081055963e-04,
+1.282608696e+05,+9.917241777e-05,
+1.304347826e+05,+1.053248217e-04,
+1.326086957e+05,+1.247170672e-04,
+1.347826087e+05,+1.285835453e-04,
+1.369565217e+05,+1.040017436e-04,
+1.391304348e+05,+1.441376423e-04,
+1.413043478e+05,+1.084662710e-04,
+1.434782609e+05,+1.228683826e-04,
+1.456521739e+05,+1.434893642e-04,
+1.478260870e+05,+1.277572068e-04,
+1.500000000e+05,+1.253678268e-04,
+1.521739130e+05,+9.938248728e-05,
+1.543478261e+05,+1.247866491e-04,
+1.565217391e+05,+1.189968787e-04,
+1.586956522e+05,+1.236708123e-04,
+1.608695652e+05,+1.291305614e-04,
+1.630434783e+05,+1.405357122e-04,
+1.652173913e+05,+1.459927307e-04,
+1.673913043e+05,+1.142172277e-04,
+1.695652174e+05,+1.561878261e-04,
+1.717391304e+05,+1.216775356e-04,
+1.739130435e+05,+1.443739554e-04,
+1.760869565e+05,+1.428834047e-04,
+1.782608696e+05,+1.369330132e-04,
+1.804347826e+05,+1.136768576e-04,
+1.826086957e+05,+1.588732371e-04,
+1.847826087e+05,+1.287590662e-04,
+1.869565217e+05,+1.234603613e-04,
+1.891304348e+05,+1.004359995e-04,
+1.913043478e+05,+1.170309189e-04,
+1.934782609e+05,+1.447266728e-04,
+1.956521739e+05,+1.430465274e-04,
+1.978260870e+05,+1.894299482e-04,
+2.000000000e+05,+1.336211108e-04,
+2.021739130e+05,+1.108135924e-04,
+2.043478261e+05,+1.484484691e-04,
+2.065217391e+05,+1.355127377e-04,
+2.086956522e+05,+1.323627818e-04,
+2.108695652e+05,+1.429894949e-04,
+2.130434783e+05,+1.140092438e-04,
+2.152173913e+05,+1.136336308e-04,
+2.173913043e+05,+1.236684225e-04,
+2.195652174e+05,+1.206097331e-04,
+2.217391304e+05,+1.485470131e-04,
+2.239130435e+05,+1.367638875e-04,
+2.260869565e+05,+1.417462441e-04,
+2.282608696e+05,+1.451207814e-04,
+2.304347826e+05,+1.625918782e-04,
+2.326086957e+05,+1.482417460e-04,
+2.347826087e+05,+1.499022425e-04,
+2.369565217e+05,+1.314963314e-04,
+2.391304348e+05,+1.222586221e-04,
+2.413043478e+05,+1.233224983e-04,
+2.434782609e+05,+1.372323495e-04,
+2.456521739e+05,+1.296370828e-04,
+2.478260870e+05,+1.564501479e-04,
+2.500000000e+05,+1.431597804e-04,
+2.521739130e+05,+1.663366224e-04,
+2.543478261e+05,+1.443087881e-04,
+2.565217391e+05,+1.416377172e-04,
+2.586956522e+05,+1.576699513e-04,
+2.608695652e+05,+1.784863548e-04,
+2.630434783e+05,+1.421582066e-04,
+2.652173913e+05,+1.276343875e-04,
+2.673913043e+05,+1.455910108e-04,
