Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:01:02 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),15.988364,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+3.000000000e+01,MAN
VBW,+3.000000000e+01,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,652.0 Hz,71.14 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+5.569130163e-02,
+2.173913043e+02,+7.872274357e-05,
+4.347826087e+02,+7.253315385e-05,
+6.521739130e+02,+7.114085012e-05,
+8.695652174e+02,+4.461365824e-05,
+1.086956522e+03,+8.705087972e-05,
+1.304347826e+03,+5.959824151e-05,
+1.521739130e+03,+6.885012383e-05,
+1.739130435e+03,+5.857892268e-05,
+1.956521739e+03,+5.377562493e-05,
+2.173913043e+03,+4.859859908e-05,
+2.391304348e+03,+6.559404017e-05,
+2.608695652e+03,+4.945298276e-05,
+2.826086957e+03,+4.496011774e-05,
+3.043478261e+03,+5.527623296e-05,
+3.260869565e+03,+5.070850206e-05,
+3.478260870e+03,+6.828033459e-05,
+3.695652174e+03,+3.962967766e-05,
+3.913043478e+03,+4.586681971e-05,
+4.130434783e+03,+6.073465527e-05,
+4.347826087e+03,+3.966401458e-05,
+4.565217391e+03,+4.000547507e-05,
+4.782608696e+03,+4.681404753e-05,
+5.000000000e+03,+3.639448045e-05,
+5.217391304e+03,+3.313258081e-05,
+5.434782609e+03,+4.876223858e-05,
+5.652173913e+03,+5.778994095e-05,
+5.869565217e+03,+3.634850800e-05,
+6.086956522e+03,+5.978148274e-05,
+6.304347826e+03,+4.259216024e-05,
+6.521739130e+03,+4.236106247e-05,
+6.739130435e+03,+3.375328937e-05,
+6.956521739e+03,+3.541408389e-05,
+7.173913043e+03,+2.819705108e-05,
+7.391304348e+03,+4.386225692e-05,
+7.608695652e+03,+3.168380359e-05,
+7.826086957e+03,+2.800811764e-05,
+8.043478261e+03,+4.165480754e-05,
+8.260869565e+03,+3.955692330e-05,
+8.478260870e+03,+3.306501547e-05,
+8.695652174e+03,+3.794026888e-05,
+8.913043478e+03,+3.807243405e-05,
+9.130434783e+03,+3.334005955e-05,
+9.347826087e+03,+2.359194846e-05,
+9.565217391e+03,+2.865647281e-05,
+9.782608696e+03,+2.057178994e-05,
+1.000000000e+04,+2.368330334e-05,
+1.021739130e+04,+2.147728382e-05,
+1.043478261e+04,+3.774143879e-05,
+1.065217391e+04,+3.480083972e-05,
+1.086956522e+04,+2.537401411e-05,
+1.108695652e+04,+3.128991768e-05,
+1.130434783e+04,+3.034322615e-05,
+1.152173913e+04,+3.586338238e-05,
+1.173913043e+04,+1.959539025e-05,
+1.195652174e+04,+2.690959818e-05,
+1.217391304e+04,+3.251903055e-05,
+1.239130435e+04,+3.365266692e-05,
+1.260869565e+04,+3.411139351e-05,
+1.282608696e+04,+2.989512817e-05,
+1.304347826e+04,+1.918603764e-05,
+1.326086957e+04,+2.497559570e-05,
+1.347826087e+04,+1.499840972e-05,
+1.369565217e+04,+1.980946276e-05,
+1.391304348e+04,+2.803011992e-05,
+1.413043478e+04,+2.048426695e-05,
+1.434782609e+04,+2.167397812e-05,
+1.456521739e+04,+3.703398533e-05,
+1.478260870e+04,+1.702788555e-05,
+1.500000000e+04,+2.382355219e-05,
+1.521739130e+04,+2.552405089e-05,
+1.543478261e+04,+2.946311788e-05,
+1.565217391e+04,+1.449073638e-05,
+1.586956522e+04,+2.902342788e-05,
+1.608695652e+04,+3.896995376e-05,
+1.630434783e+04,+1.667246164e-05,
+1.652173913e+04,+2.195489469e-05,
+1.673913043e+04,+2.405164032e-05,
+1.695652174e+04,+1.719299547e-05,
+1.717391304e+04,+1.905890511e-05,
+1.739130435e+04,+1.922468530e-05,
+1.760869565e+04,+2.498114656e-05,
+1.782608696e+04,+2.602849928e-05,
+1.804347826e+04,+2.174422660e-05,
+1.826086957e+04,+2.872156302e-05,
+1.847826087e+04,+3.304858110e-05,
+1.869565217e+04,+2.546025767e-05,
+1.891304348e+04,+2.024454264e-05,
+1.913043478e+04,+2.250536881e-05,
+1.934782609e+04,+1.499946369e-05,
+1.956521739e+04,+2.690376060e-05,
+1.978260870e+04,+2.926523849e-05,
+2.000000000e+04,+1.544730345e-05,
+2.021739130e+04,+2.033530989e-05,
+2.043478261e+04,+2.348074570e-05,
+2.065217391e+04,+2.405565463e-05,
+2.086956522e+04,+2.505839399e-05,
+2.108695652e+04,+1.745812161e-05,
+2.130434783e+04,+1.871175616e-05,
+2.152173913e+04,+2.397913922e-05,
+2.173913043e+04,+2.071698297e-05,
+2.195652174e+04,+2.553961474e-05,
+2.217391304e+04,+1.959917724e-05,
+2.239130435e+04,+2.047050717e-05,
+2.260869565e+04,+1.879885421e-05,
+2.282608696e+04,+2.278709118e-05,
+2.304347826e+04,+1.987117197e-05,
+2.326086957e+04,+2.961253503e-05,
+2.347826087e+04,+1.561763711e-05,
+2.369565217e+04,+2.603030548e-05,
+2.391304348e+04,+3.441526843e-05,
+2.413043478e+04,+2.524427599e-05,
+2.434782609e+04,+2.167057065e-05,
+2.456521739e+04,+3.020643509e-05,
+2.478260870e+04,+1.966916142e-05,
+2.500000000e+04,+3.096420768e-05,
+2.521739130e+04,+2.909379783e-05,
+2.543478261e+04,+3.350437009e-05,
+2.565217391e+04,+2.939756072e-05,
+2.586956522e+04,+3.220082780e-05,
+2.608695652e+04,+1.544540399e-05,
+2.630434783e+04,+2.414901723e-05,
+2.652173913e+04,+3.156083944e-05,
+2.673913043e+04,+2.851378310e-05,
