Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:04:06 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),6.570405,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.500000000e+06
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,9 kHz,53.24 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+2.635917433e-02,
+3.260869565e+03,+1.118636214e-04,
+6.521739130e+03,+6.054716282e-05,
+9.782608696e+03,+5.323852688e-05,
+1.304347826e+04,+4.072870969e-05,
+1.630434783e+04,+5.322679068e-05,
+1.956521739e+04,+4.622228017e-05,
+2.282608696e+04,+5.345810961e-05,
+2.608695652e+04,+3.898340843e-05,
+2.934782609e+04,+5.848432422e-05,
+3.260869565e+04,+7.801702647e-05,
+3.586956522e+04,+5.305278193e-05,
+3.913043478e+04,+7.020703004e-05,
+4.239130435e+04,+5.625023555e-05,
+4.565217391e+04,+7.792183131e-05,
+4.891304348e+04,+7.386195150e-05,
+5.217391304e+04,+7.236871210e-05,
+5.543478261e+04,+8.387129406e-05,
+5.869565217e+04,+8.895225008e-05,
+6.195652174e+04,+9.754280444e-05,
+6.521739130e+04,+9.031022193e-05,
+6.847826087e+04,+1.082332930e-04,
+7.173913043e+04,+9.146852036e-05,
+7.500000000e+04,+8.950738893e-05,
+7.826086957e+04,+1.008451994e-04,
+8.152173913e+04,+8.806389370e-05,
+8.478260870e+04,+9.678451526e-05,
+8.804347826e+04,+9.499918193e-05,
+9.130434783e+04,+1.076935135e-04,
+9.456521739e+04,+1.092682774e-04,
+9.782608696e+04,+1.147459544e-04,
+1.010869565e+05,+1.252785522e-04,
+1.043478261e+05,+1.047985348e-04,
+1.076086957e+05,+9.353150726e-05,
+1.108695652e+05,+1.180511708e-04,
+1.141304348e+05,+9.614884982e-05,
+1.173913043e+05,+1.187845733e-04,
+1.206521739e+05,+1.296411821e-04,
+1.239130435e+05,+1.134169462e-04,
+1.271739130e+05,+1.289527217e-04,
+1.304347826e+05,+1.476837397e-04,
+1.336956522e+05,+1.272740159e-04,
+1.369565217e+05,+1.407222331e-04,
+1.402173913e+05,+1.042479532e-04,
+1.434782609e+05,+1.197807577e-04,
+1.467391304e+05,+1.246301170e-04,
+1.500000000e+05,+1.220063065e-04,
+1.532608696e+05,+1.050631483e-04,
+1.565217391e+05,+1.207981346e-04,
+1.597826087e+05,+1.497428102e-04,
+1.630434783e+05,+1.311060531e-04,
+1.663043478e+05,+1.503376450e-04,
+1.695652174e+05,+1.325510291e-04,
+1.728260870e+05,+1.236284546e-04,
+1.760869565e+05,+1.468733377e-04,
+1.793478261e+05,+1.254792065e-04,
+1.826086957e+05,+1.341670468e-04,
+1.858695652e+05,+1.306998264e-04,
+1.891304348e+05,+1.198881214e-04,
+1.923913043e+05,+1.315564062e-04,
+1.956521739e+05,+1.094438653e-04,
+1.989130435e+05,+1.395732142e-04,
+2.021739130e+05,+1.390664645e-04,
+2.054347826e+05,+1.160527111e-04,
+2.086956522e+05,+1.236424636e-04,
+2.119565217e+05,+1.459384973e-04,
+2.152173913e+05,+1.465549674e-04,
+2.184782609e+05,+1.373674211e-04,
+2.217391304e+05,+1.550293202e-04,
+2.250000000e+05,+1.453213014e-04,
+2.282608696e+05,+1.289444535e-04,
+2.315217391e+05,+1.526009741e-04,
+2.347826087e+05,+1.378418247e-04,
+2.380434783e+05,+1.337643769e-04,
+2.413043478e+05,+1.175920872e-04,
+2.445652174e+05,+1.512615319e-04,
+2.478260870e+05,+1.443759844e-04,
+2.510869565e+05,+1.404648744e-04,
+2.543478261e+05,+1.567292229e-04,
+2.576086957e+05,+1.898256177e-04,
+2.608695652e+05,+1.431864412e-04,
+2.641304348e+05,+1.321937271e-04,
+2.673913043e+05,+1.665559967e-04,
+2.706521739e+05,+1.540132766e-04,
+2.739130435e+05,+1.198675886e-04,
+2.771739130e+05,+1.568918904e-04,
+2.804347826e+05,+1.765058157e-04,
+2.836956522e+05,+1.759355060e-04,
+2.869565217e+05,+1.472533072e-04,
+2.902173913e+05,+1.470541900e-04,
+2.934782609e+05,+1.280631412e-04,
+2.967391304e+05,+1.665665305e-04,
+3.000000000e+05,+1.223977685e-04,
+3.032608696e+05,+1.614425125e-04,
+3.065217391e+05,+1.532597220e-04,
+3.097826087e+05,+1.506645635e-04,
+3.130434783e+05,+1.718906192e-04,
+3.163043478e+05,+1.685909599e-04,
+3.195652174e+05,+1.872335519e-04,
+3.228260870e+05,+1.785181049e-04,
+3.260869565e+05,+1.740387547e-04,
+3.293478261e+05,+1.499242987e-04,
+3.326086957e+05,+1.819991887e-04,
+3.358695652e+05,+1.335273665e-04,
+3.391304348e+05,+1.801343466e-04,
+3.423913043e+05,+1.975897161e-04,
+3.456521739e+05,+1.843916047e-04,
+3.489130435e+05,+1.792792832e-04,
+3.521739130e+05,+1.739200154e-04,
+3.554347826e+05,+1.577920100e-04,
+3.586956522e+05,+1.707709684e-04,
+3.619565217e+05,+1.389071483e-04,
+3.652173913e+05,+1.618099231e-04,
+3.684782609e+05,+1.533981047e-04,
+3.717391304e+05,+1.846567673e-04,
+3.750000000e+05,+1.974315829e-04,
+3.782608696e+05,+1.603990189e-04,
+3.815217391e+05,+1.621584414e-04,
+3.847826087e+05,+1.848548341e-04,
+3.880434783e+05,+1.797437992e-04,
+3.913043478e+05,+1.774782397e-04,
+3.945652174e+05,+1.491771882e-04,
+3.978260870e+05,+1.762107949e-04,
+4.010869565e+05,+1.729932969e-04,
