Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:00:44 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),15.988364,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+3.000000000e+01,MAN
VBW,+3.000000000e+01,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,652.0 Hz,75.58 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+5.578606173e-02,
+2.173913043e+02,+1.135608911e-04,
+4.347826087e+02,+1.124029742e-04,
+6.521739130e+02,+7.557694711e-05,
+8.695652174e+02,+9.696065075e-05,
+1.086956522e+03,+3.899412757e-05,
+1.304347826e+03,+4.827322012e-05,
+1.521739130e+03,+4.110243538e-05,
+1.739130435e+03,+4.240417188e-05,
+1.956521739e+03,+5.565663612e-05,
+2.173913043e+03,+5.119920479e-05,
+2.391304348e+03,+5.739495703e-05,
+2.608695652e+03,+4.991610021e-05,
+2.826086957e+03,+5.649295733e-05,
+3.043478261e+03,+4.689046948e-05,
+3.260869565e+03,+4.876677888e-05,
+3.478260870e+03,+4.763291579e-05,
+3.695652174e+03,+4.604422715e-05,
+3.913043478e+03,+6.195294884e-05,
+4.130434783e+03,+5.450946573e-05,
+4.347826087e+03,+3.649900478e-05,
+4.565217391e+03,+6.604701535e-05,
+4.782608696e+03,+5.466904113e-05,
+5.000000000e+03,+4.176743160e-05,
+5.217391304e+03,+3.566989038e-05,
+5.434782609e+03,+3.418791304e-05,
+5.652173913e+03,+4.451865234e-05,
+5.869565217e+03,+3.656979661e-05,
+6.086956522e+03,+3.116631946e-05,
+6.304347826e+03,+3.207411034e-05,
+6.521739130e+03,+2.508197828e-05,
+6.739130435e+03,+3.016867668e-05,
+6.956521739e+03,+3.091390523e-05,
+7.173913043e+03,+3.528724135e-05,
+7.391304348e+03,+3.023547540e-05,
+7.608695652e+03,+2.997882713e-05,
+7.826086957e+03,+4.108666140e-05,
+8.043478261e+03,+1.456872740e-05,
+8.260869565e+03,+3.018460688e-05,
+8.478260870e+03,+3.513711126e-05,
+8.695652174e+03,+2.710749793e-05,
+8.913043478e+03,+3.099808762e-05,
+9.130434783e+03,+2.882039963e-05,
+9.347826087e+03,+2.525929207e-05,
+9.565217391e+03,+3.195041721e-05,
+9.782608696e+03,+2.210612107e-05,
+1.000000000e+04,+2.281819633e-05,
+1.021739130e+04,+2.286468265e-05,
+1.043478261e+04,+3.391418460e-05,
+1.065217391e+04,+2.603558764e-05,
+1.086956522e+04,+1.902333087e-05,
+1.108695652e+04,+3.235892695e-05,
+1.130434783e+04,+3.174447532e-05,
+1.152173913e+04,+3.137145888e-05,
+1.173913043e+04,+2.833613967e-05,
+1.195652174e+04,+2.097007321e-05,
+1.217391304e+04,+3.822859105e-05,
+1.239130435e+04,+2.424399856e-05,
+1.260869565e+04,+4.042224159e-05,
+1.282608696e+04,+4.038866730e-05,
+1.304347826e+04,+2.240113725e-05,
+1.326086957e+04,+2.176717708e-05,
+1.347826087e+04,+2.143676251e-05,
+1.369565217e+04,+3.097819057e-05,
+1.391304348e+04,+2.487506054e-05,
+1.413043478e+04,+3.261987337e-05,
+1.434782609e+04,+2.057137434e-05,
+1.456521739e+04,+2.073409532e-05,
+1.478260870e+04,+2.504292542e-05,
+1.500000000e+04,+2.543097841e-05,
+1.521739130e+04,+2.112676019e-05,
+1.543478261e+04,+3.018813333e-05,
+1.565217391e+04,+2.219940376e-05,
+1.586956522e+04,+1.774277383e-05,
+1.608695652e+04,+1.992696386e-05,
+1.630434783e+04,+1.656987145e-05,
+1.652173913e+04,+2.654256770e-05,
+1.673913043e+04,+2.099867963e-05,
+1.695652174e+04,+2.243668133e-05,
+1.717391304e+04,+2.623533128e-05,
+1.739130435e+04,+1.990254440e-05,
+1.760869565e+04,+1.439527268e-05,
+1.782608696e+04,+2.888167604e-05,
+1.804347826e+04,+2.417180933e-05,
+1.826086957e+04,+1.867230263e-05,
+1.847826087e+04,+1.886246784e-05,
+1.869565217e+04,+2.058786006e-05,
+1.891304348e+04,+1.580205869e-05,
+1.913043478e+04,+2.495189227e-05,
+1.934782609e+04,+1.922782641e-05,
+1.956521739e+04,+1.685307743e-05,
+1.978260870e+04,+2.496969515e-05,
+2.000000000e+04,+2.899975436e-05,
+2.021739130e+04,+2.306470115e-05,
+2.043478261e+04,+2.998132881e-05,
+2.065217391e+04,+2.419562180e-05,
+2.086956522e+04,+2.423175696e-05,
+2.108695652e+04,+2.476555266e-05,
+2.130434783e+04,+2.825032638e-05,
+2.152173913e+04,+1.389236209e-05,
+2.173913043e+04,+2.569518941e-05,
+2.195652174e+04,+2.396669453e-05,
+2.217391304e+04,+2.006815223e-05,
+2.239130435e+04,+2.441832660e-05,
+2.260869565e+04,+1.717106662e-05,
+2.282608696e+04,+2.972613283e-05,
+2.304347826e+04,+3.433214792e-05,
+2.326086957e+04,+1.461613931e-05,
+2.347826087e+04,+2.233716239e-05,
+2.369565217e+04,+2.275261071e-05,
+2.391304348e+04,+2.320548523e-05,
+2.413043478e+04,+1.832498301e-05,
+2.434782609e+04,+2.176033335e-05,
+2.456521739e+04,+2.343352144e-05,
+2.478260870e+04,+1.808704806e-05,
+2.500000000e+04,+1.804009930e-05,
+2.521739130e+04,+2.279069424e-05,
+2.543478261e+04,+1.787515823e-05,
+2.565217391e+04,+1.815566700e-05,
+2.586956522e+04,+3.044748275e-05,
+2.608695652e+04,+2.758185433e-05,
+2.630434783e+04,+1.484924830e-05,
+2.652173913e+04,+2.452343406e-05,
+2.673913043e+04,+3.427673542e-05,
