Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:02:46 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),2.190635,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+5.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,3.2 kHz,151.1 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+4.544513798e-02,
+1.086956522e+03,+1.258986192e-04,
+2.173913043e+03,+8.013332394e-05,
+3.260869565e+03,+1.511286608e-04,
+4.347826087e+03,+1.223024442e-04,
+5.434782609e+03,+4.103840248e-05,
+6.521739130e+03,+6.422771320e-05,
+7.608695652e+03,+5.509745998e-05,
+8.695652174e+03,+5.201151865e-05,
+9.782608696e+03,+5.804838172e-05,
+1.086956522e+04,+5.184307664e-05,
+1.195652174e+04,+4.986706217e-05,
+1.304347826e+04,+5.375767873e-05,
+1.413043478e+04,+3.479448217e-05,
+1.521739130e+04,+4.963955184e-05,
+1.630434783e+04,+3.156131072e-05,
+1.739130435e+04,+4.869059197e-05,
+1.847826087e+04,+5.296906164e-05,
+1.956521739e+04,+3.938669036e-05,
+2.065217391e+04,+5.848509478e-05,
+2.173913043e+04,+5.104437705e-05,
+2.282608696e+04,+3.513988906e-05,
+2.391304348e+04,+4.624384386e-05,
+2.500000000e+04,+4.950343981e-05,
+2.608695652e+04,+4.443504904e-05,
+2.717391304e+04,+4.277166383e-05,
+2.826086957e+04,+4.565543436e-05,
+2.934782609e+04,+5.528332212e-05,
+3.043478261e+04,+5.080087432e-05,
+3.152173913e+04,+6.370731281e-05,
+3.260869565e+04,+1.323494122e-04,
+3.369565217e+04,+6.508777670e-05,
+3.478260870e+04,+5.843795490e-05,
+3.586956522e+04,+4.542554771e-05,
+3.695652174e+04,+5.744589757e-05,
+3.804347826e+04,+6.286256409e-05,
+3.913043478e+04,+6.521023754e-05,
+4.021739130e+04,+5.719888052e-05,
+4.130434783e+04,+6.606018573e-05,
+4.239130435e+04,+6.469926386e-05,
+4.347826087e+04,+8.658920388e-05,
+4.456521739e+04,+6.230723574e-05,
+4.565217391e+04,+5.229866306e-05,
+4.673913043e+04,+5.975386883e-05,
+4.782608696e+04,+5.632830542e-05,
+4.891304348e+04,+6.834904069e-05,
+5.000000000e+04,+6.369919937e-05,
+5.108695652e+04,+6.887710125e-05,
+5.217391304e+04,+7.932231067e-05,
+5.326086957e+04,+5.426954550e-05,
+5.434782609e+04,+6.998494735e-05,
+5.543478261e+04,+7.202664671e-05,
+5.652173913e+04,+6.759777323e-05,
+5.760869565e+04,+7.642904349e-05,
+5.869565217e+04,+5.943263009e-05,
+5.978260870e+04,+9.841701920e-05,
+6.086956522e+04,+7.027384773e-05,
+6.195652174e+04,+8.260825614e-05,
+6.304347826e+04,+8.509958276e-05,
+6.413043478e+04,+1.055735144e-04,
+6.521739130e+04,+8.596573787e-05,
+6.630434783e+04,+8.843651266e-05,
+6.739130435e+04,+8.429803978e-05,
+6.847826087e+04,+8.243024007e-05,
+6.956521739e+04,+9.513713165e-05,
+7.065217391e+04,+5.312515412e-05,
+7.173913043e+04,+6.995397210e-05,
+7.282608696e+04,+7.252124092e-05,
+7.391304348e+04,+9.626614336e-05,
+7.500000000e+04,+1.125148922e-04,
+7.608695652e+04,+1.219630190e-04,
+7.717391304e+04,+1.099134163e-04,
+7.826086957e+04,+8.993460585e-05,
+7.934782609e+04,+8.859045224e-05,
+8.043478261e+04,+1.275252393e-04,
+8.152173913e+04,+7.140071018e-05,
+8.260869565e+04,+7.276466492e-05,
+8.369565217e+04,+1.131917263e-04,
+8.478260870e+04,+7.285906323e-05,
+8.586956522e+04,+9.151939155e-05,
+8.695652174e+04,+1.257415758e-04,
+8.804347826e+04,+1.157711978e-04,
+8.913043478e+04,+1.061516077e-04,
+9.021739130e+04,+1.680470358e-04,
+9.130434783e+04,+1.129040617e-04,
+9.239130435e+04,+1.002568091e-04,
+9.347826087e+04,+1.081863393e-04,
+9.456521739e+04,+1.208285906e-04,
+9.565217391e+04,+1.224853130e-04,
+9.673913043e+04,+1.190568899e-04,
+9.782608696e+04,+1.054421946e-04,
+9.891304348e+04,+8.582992830e-05,
+1.000000000e+05,+1.252610570e-04,
+1.010869565e+05,+8.729176366e-05,
+1.021739130e+05,+1.015623042e-04,
+1.032608696e+05,+1.053397175e-04,
+1.043478261e+05,+8.261703641e-05,
+1.054347826e+05,+9.787468587e-05,
+1.065217391e+05,+9.752267211e-05,
+1.076086957e+05,+9.776857068e-05,
+1.086956522e+05,+9.657722260e-05,
+1.097826087e+05,+1.125370321e-04,
+1.108695652e+05,+1.183524694e-04,
+1.119565217e+05,+1.255171268e-04,
+1.130434783e+05,+1.374509424e-04,
+1.141304348e+05,+1.296915235e-04,
+1.152173913e+05,+1.115049691e-04,
+1.163043478e+05,+1.495474199e-04,
+1.173913043e+05,+1.077563425e-04,
+1.184782609e+05,+8.880704195e-05,
+1.195652174e+05,+8.974032896e-05,
+1.206521739e+05,+1.251281072e-04,
+1.217391304e+05,+1.099686534e-04,
+1.228260870e+05,+1.190327354e-04,
+1.239130435e+05,+1.363888799e-04,
+1.250000000e+05,+1.242916554e-04,
+1.260869565e+05,+1.225774421e-04,
+1.271739130e+05,+1.256034823e-04,
+1.282608696e+05,+1.174265284e-04,
+1.293478261e+05,+1.026512757e-04,
+1.304347826e+05,+1.187079108e-04,
+1.315217391e+05,+1.356365853e-04,
+1.326086957e+05,+1.186902906e-04,
+1.336956522e+05,+1.494189418e-04,
