Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:03:44 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),4.380534,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+06
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,6.5 kHz,56.66 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+3.226628715e-02,
+2.173913043e+03,+1.270122421e-04,
+4.347826087e+03,+9.812931532e-05,
+6.521739130e+03,+5.665804075e-05,
+8.695652174e+03,+5.686399971e-05,
+1.086956522e+04,+5.639939907e-05,
+1.304347826e+04,+4.949174449e-05,
+1.521739130e+04,+3.774203551e-05,
+1.739130435e+04,+4.791473800e-05,
+1.956521739e+04,+4.633801331e-05,
+2.173913043e+04,+4.785114515e-05,
+2.391304348e+04,+5.408234105e-05,
+2.608695652e+04,+4.071465264e-05,
+2.826086957e+04,+4.778045950e-05,
+3.043478261e+04,+5.413547673e-05,
+3.260869565e+04,+1.110213050e-04,
+3.478260870e+04,+5.701839666e-05,
+3.695652174e+04,+6.975737836e-05,
+3.913043478e+04,+5.132122317e-05,
+4.130434783e+04,+6.324943603e-05,
+4.347826087e+04,+7.235822443e-05,
+4.565217391e+04,+6.919618560e-05,
+4.782608696e+04,+5.826860662e-05,
+5.000000000e+04,+6.418564105e-05,
+5.217391304e+04,+1.111147660e-04,
+5.434782609e+04,+8.227464618e-05,
+5.652173913e+04,+9.495238132e-05,
+5.869565217e+04,+8.659483229e-05,
+6.086956522e+04,+7.445948014e-05,
+6.304347826e+04,+9.073864056e-05,
+6.521739130e+04,+7.668565173e-05,
+6.739130435e+04,+8.500365963e-05,
+6.956521739e+04,+1.073322972e-04,
+7.173913043e+04,+8.011094418e-05,
+7.391304348e+04,+9.871536415e-05,
+7.608695652e+04,+1.058093173e-04,
+7.826086957e+04,+7.501741778e-05,
+8.043478261e+04,+9.084725935e-05,
+8.260869565e+04,+9.749183915e-05,
+8.478260870e+04,+9.003767506e-05,
+8.695652174e+04,+7.726339221e-05,
+8.913043478e+04,+1.068889816e-04,
+9.130434783e+04,+1.229154462e-04,
+9.347826087e+04,+1.034229120e-04,
+9.565217391e+04,+1.130874788e-04,
+9.782608696e+04,+1.009918157e-04,
+1.000000000e+05,+1.103026946e-04,
+1.021739130e+05,+1.179813030e-04,
+1.043478261e+05,+8.910004348e-05,
+1.065217391e+05,+1.324640857e-04,
+1.086956522e+05,+1.103149030e-04,
+1.108695652e+05,+1.035196144e-04,
+1.130434783e+05,+1.210419976e-04,
+1.152173913e+05,+1.406962783e-04,
+1.173913043e+05,+1.079589883e-04,
+1.195652174e+05,+1.202768017e-04,
+1.217391304e+05,+1.112571572e-04,
+1.239130435e+05,+1.159720052e-04,
+1.260869565e+05,+1.099348512e-04,
+1.282608696e+05,+1.273066637e-04,
+1.304347826e+05,+1.192719868e-04,
+1.326086957e+05,+1.148102758e-04,
+1.347826087e+05,+1.233683272e-04,
+1.369565217e+05,+1.265136429e-04,
+1.391304348e+05,+1.279545254e-04,
+1.413043478e+05,+1.311139993e-04,
+1.434782609e+05,+1.322973419e-04,
+1.456521739e+05,+9.690496753e-05,
+1.478260870e+05,+1.651003736e-04,
+1.500000000e+05,+1.663801672e-04,
+1.521739130e+05,+1.175677136e-04,
+1.543478261e+05,+1.059934042e-04,
+1.565217391e+05,+1.266565196e-04,
+1.586956522e+05,+1.086471548e-04,
+1.608695652e+05,+1.190270896e-04,
+1.630434783e+05,+1.398024123e-04,
+1.652173913e+05,+9.828225546e-05,
+1.673913043e+05,+1.529249561e-04,
+1.695652174e+05,+1.169834367e-04,
+1.717391304e+05,+1.111545937e-04,
+1.739130435e+05,+1.180329224e-04,
+1.760869565e+05,+1.125326828e-04,
+1.782608696e+05,+1.457946137e-04,
+1.804347826e+05,+1.468557935e-04,
+1.826086957e+05,+1.257967010e-04,
+1.847826087e+05,+1.355692887e-04,
+1.869565217e+05,+1.437743628e-04,
+1.891304348e+05,+1.466518680e-04,
+1.913043478e+05,+1.248681148e-04,
+1.934782609e+05,+1.322281015e-04,
+1.956521739e+05,+1.347715497e-04,
+1.978260870e+05,+1.306002159e-04,
+2.000000000e+05,+1.287129306e-04,
+2.021739130e+05,+1.312164220e-04,
+2.043478261e+05,+1.457133176e-04,
+2.065217391e+05,+1.376750834e-04,
+2.086956522e+05,+1.411810002e-04,
+2.108695652e+05,+1.358979888e-04,
+2.130434783e+05,+1.450336186e-04,
+2.152173913e+05,+1.268014510e-04,
+2.173913043e+05,+1.354055343e-04,
+2.195652174e+05,+1.213165057e-04,
+2.217391304e+05,+1.276450384e-04,
+2.239130435e+05,+1.542983046e-04,
+2.260869565e+05,+1.064803205e-04,
+2.282608696e+05,+1.323009443e-04,
+2.304347826e+05,+1.375155494e-04,
+2.326086957e+05,+1.478237745e-04,
+2.347826087e+05,+1.331811188e-04,
+2.369565217e+05,+1.623268865e-04,
+2.391304348e+05,+1.853740915e-04,
+2.413043478e+05,+1.601897942e-04,
+2.434782609e+05,+1.416724318e-04,
+2.456521739e+05,+1.447448525e-04,
+2.478260870e+05,+1.592935553e-04,
+2.500000000e+05,+1.683863572e-04,
+2.521739130e+05,+1.757906110e-04,
+2.543478261e+05,+1.625366895e-04,
+2.565217391e+05,+1.567668790e-04,
+2.586956522e+05,+1.844228663e-04,
+2.608695652e+05,+1.425662321e-04,
+2.630434783e+05,+1.600786755e-04,
+2.652173913e+05,+1.554040427e-04,
+2.673913043e+05,+1.389475400e-04,
