Machine Module,N9343C,CN06050179
+2.478260870e+05,+2.363137461e-05,
+2.500000000e+05,+2.275275061e-05,
+2.521739130e+05,+2.525372377e-05,
+2.543478261e+05,+2.826052683e-05,
+2.565217391e+05,+2.208159126e-05,
+2.586956522e+05,+3.105463657e-05,
+2.608695652e+05,+2.427913965e-05,
+2.630434783e+05,+2.822537438e-05,
+2.652173913e+05,+1.645156089e-05,
+2.673913043e+05,+2.915055971e-05,
+2.695652174e+05,+2.500536098e-05,
+2.717391304e+05,+2.339107616e-05,
+2.739130435e+05,+2.510243154e-05,
+2.760869565e+05,+2.015460540e-05,
+2.782608696e+05,+2.420301884e-05,
+2.804347826e+05,+3.179758159e-05,
+2.826086957e+05,+2.652643924e-05,
+2.847826087e+05,+2.535077870e-05,
+2.869565217e+05,+2.482348391e-05,
+2.891304348e+05,+2.545296823e-05,
+2.913043478e+05,+2.668875186e-05,
+2.934782609e+05,+2.859969328e-05,
+2.956521739e+05,+2.655478710e-05,
+2.978260870e+05,+2.572621903e-05,
+3.000000000e+05,+2.211113130e-05,
+3.021739130e+05,+2.218854535e-05,
+3.043478261e+05,+2.175236446e-05,
+3.065217391e+05,+2.434063624e-05,
+3.086956522e+05,+2.149358931e-05,
+3.108695652e+05,+2.589493711e-05,
+3.130434783e+05,+2.497313879e-05,
+3.152173913e+05,+1.917474987e-05,
+3.173913043e+05,+2.201613091e-05,
+3.195652174e+05,+3.031536046e-05,
+3.217391304e+05,+2.354317702e-05,
+3.239130435e+05,+2.179771329e-05,
+3.260869565e+05,+2.307959651e-05,
+3.282608696e+05,+2.234783833e-05,
+3.304347826e+05,+2.143126505e-05,
+3.326086957e+05,+2.267099826e-05,
+3.347826087e+05,+2.848617123e-05,
+3.369565217e+05,+2.979742134e-05,
+3.391304348e+05,+2.192063371e-05,
+3.413043478e+05,+2.067179433e-05,
+3.434782609e+05,+1.978605624e-05,
+3.456521739e+05,+1.712429930e-05,
+3.478260870e+05,+2.423752571e-05,
+3.500000000e+05,+2.148513307e-05,
+3.521739130e+05,+2.483604626e-05,
+3.543478261e+05,+2.716012213e-05,
+3.565217391e+05,+2.776227873e-05,
+3.586956522e+05,+2.266347223e-05,
+3.608695652e+05,+2.299331691e-05,
+3.630434783e+05,+1.990670548e-05,
+3.652173913e+05,+2.045341475e-05,
+3.673913043e+05,+2.482102017e-05,
+3.695652174e+05,+2.580717579e-05,
+3.717391304e+05,+3.339935535e-05,
+3.739130435e+05,+2.826986186e-05,
+3.760869565e+05,+2.607763151e-05,
+3.782608696e+05,+2.014437559e-05,
+3.804347826e+05,+2.144329728e-05,
+3.826086957e+05,+2.317287511e-05,
+3.847826087e+05,+2.667872036e-05,
+3.869565217e+05,+2.896785498e-05,
+3.891304348e+05,+1.969400376e-05,
+3.913043478e+05,+2.458358434e-05,
+3.934782609e+05,+2.609891961e-05,
+3.956521739e+05,+3.174369460e-05,
+3.978260870e+05,+2.191004638e-05,
+4.000000000e+05,+2.305601156e-05,
+4.021739130e+05,+2.112460768e-05,
+4.043478261e+05,+1.843431030e-05,
+4.065217391e+05,+1.897403512e-05,
+4.086956522e+05,+2.031715249e-05,
+4.108695652e+05,+2.034504693e-05,
+4.130434783e+05,+2.145693821e-05,
+4.152173913e+05,+2.392532190e-05,
+4.173913043e+05,+2.133515620e-05,
+4.195652174e+05,+2.217404977e-05,
+4.217391304e+05,+2.601428265e-05,
+4.239130435e+05,+2.181571832e-05,
+4.260869565e+05,+2.173838296e-05,
+4.282608696e+05,+2.111768774e-05,
+4.304347826e+05,+2.128714198e-05,
+4.326086957e+05,+2.666836467e-05,
+4.347826087e+05,+2.660944672e-05,
+4.369565217e+05,+2.780330096e-05,
+4.391304348e+05,+2.306607882e-05,
+4.413043478e+05,+2.158339620e-05,
+4.434782609e+05,+3.096510522e-05,
+4.456521739e+05,+1.938742828e-05,
+4.478260870e+05,+3.129162173e-05,
+4.500000000e+05,+2.088690914e-05,
+4.521739130e+05,+2.383439423e-05,
+4.543478261e+05,+2.280615383e-05,
+4.565217391e+05,+2.814491455e-05,
+4.586956522e+05,+2.715306151e-05,
+4.608695652e+05,+2.520094142e-05,
+4.630434783e+05,+2.545788725e-05,
+4.652173913e+05,+2.472779611e-05,
+4.673913043e+05,+2.338963799e-05,
+4.695652174e+05,+2.007684432e-05,
+4.717391304e+05,+2.431913746e-05,
+4.739130435e+05,+2.852029569e-05,
+4.760869565e+05,+2.469766702e-05,
+4.782608696e+05,+2.090818340e-05,
+4.804347826e+05,+2.412520825e-05,
+4.826086957e+05,+2.290768179e-05,
+4.847826087e+05,+2.267143636e-05,
+4.869565217e+05,+2.205774739e-05,
+4.891304348e+05,+2.685488813e-05,
+4.913043478e+05,+2.733853221e-05,
+4.934782609e+05,+2.400438535e-05,
+4.956521739e+05,+2.541331541e-05,
+4.978260870e+05,+2.129230323e-05,
+5.000000000e+05,+2.275329022e-05,
+5.021739130e+05,+2.250803764e-05,
+5.043478261e+05,+2.291804662e-05,
+5.065217391e+05,+2.612768266e-05,
+5.086956522e+05,+1.903474685e-05,
+5.108695652e+05,+3.048529556e-05,
+5.130434783e+05,+2.777588915e-05,
+5.152173913e+05,+2.787247526e-05,
+5.173913043e+05,+2.379224684e-05,
+5.195652174e+05,+2.457572560e-05,
+5.217391304e+05,+2.365864428e-05,
+5.239130435e+05,+2.699141000e-05,
+5.260869565e+05,+2.667012158e-05,
+5.282608696e+05,+2.422084054e-05,
+5.304347826e+05,+2.477090453e-05,
+5.326086957e+05,+3.094974177e-05,
+5.347826087e+05,+2.365369893e-05,
+5.369565217e+05,+2.419685448e-05,
+5.391304348e+05,+3.352468233e-05,
+5.413043478e+05,+2.079305883e-05,
+5.434782609e+05,+2.145041812e-05,
+5.456521739e+05,+2.297787173e-05,
+5.478260870e+05,+3.458718676e-05,
+5.500000000e+05,+2.998822927e-05,
+5.521739130e+05,+2.592752879e-05,
+5.543478261e+05,+2.203152952e-05,
+5.565217391e+05,+2.353980650e-05,
+5.586956522e+05,+1.924259313e-05,
+5.608695652e+05,+2.572156446e-05,
+5.630434783e+05,+2.662431600e-05,
+5.652173913e+05,+2.428820489e-05,
+5.673913043e+05,+2.684106886e-05,
+5.695652174e+05,+2.092933226e-05,
+5.717391304e+05,+1.920335283e-05,
+5.739130435e+05,+2.336452534e-05,
+5.760869565e+05,+2.209647279e-05,
+5.782608696e+05,+2.451798490e-05,
+5.804347826e+05,+1.678136102e-05,
+5.826086957e+05,+2.402134339e-05,
+5.847826087e+05,+2.029451866e-05,
+5.869565217e+05,+2.334031095e-04,
+5.891304348e+05,+2.529632697e-05,
+5.913043478e+05,+3.233324276e-05,
+5.934782609e+05,+2.599774445e-05,
+5.956521739e+05,+2.146174475e-05,
+5.978260870e+05,+3.148807009e-05,
+6.000000000e+05,+2.600546401e-05,
+6.021739130e+05,+2.439678063e-05,
+6.043478261e+05,+2.523212772e-05,
+6.065217391e+05,+2.567607991e-05,
+6.086956522e+05,+2.484839670e-05,
+6.108695652e+05,+2.587056568e-05,
+6.130434783e+05,+2.059162181e-05,
+6.152173913e+05,+2.821198975e-05,
+6.173913043e+05,+2.648865039e-05,
+6.195652174e+05,+2.038348671e-05,
+6.217391304e+05,+2.268595819e-05,
+6.239130435e+05,+2.415839462e-05,
+6.260869565e+05,+2.715797513e-05,
+6.282608696e+05,+1.941677487e-05,
+6.304347826e+05,+2.468261625e-05,
+6.326086957e+05,+2.507466500e-05,
+6.347826087e+05,+2.751550389e-05,
+6.369565217e+05,+2.229403959e-05,
+6.391304348e+05,+2.811118985e-05,
+6.413043478e+05,+2.660393130e-05,
+6.434782609e+05,+2.312742792e-05,
+6.456521739e+05,+2.700815329e-05,
+6.478260870e+05,+2.282302715e-05,
+6.500000000e+05,+2.275896687e-05,
+6.521739130e+05,+2.867326671e-05,
+6.543478261e+05,+2.713520348e-05,
+6.565217391e+05,+2.503448005e-05,
+6.586956522e+05,+2.066132016e-05,
+6.608695652e+05,+2.093747779e-05,
+6.630434783e+05,+2.655933583e-05,
+6.652173913e+05,+2.526803523e-05,
+6.673913043e+05,+2.292710711e-05,
+6.695652174e+05,+2.322546909e-05,
+6.717391304e+05,+2.493797891e-05,
+6.739130435e+05,+2.161221282e-05,
+6.760869565e+05,+2.554125241e-05,
+6.782608696e+05,+1.910618919e-05,
+6.804347826e+05,+1.950160382e-05,
+6.826086957e+05,+2.022872273e-05,
+6.847826087e+05,+2.423573747e-05,
+6.869565217e+05,+2.773958515e-05,
+6.891304348e+05,+2.205722428e-05,
+6.913043478e+05,+2.891020454e-05,
+6.934782609e+05,+2.565950880e-05,
+6.956521739e+05,+2.499422777e-05,
+6.978260870e+05,+1.914205288e-05,
+7.000000000e+05,+3.133141855e-05,
+7.021739130e+05,+3.272600150e-05,
+7.043478261e+05,+2.783411352e-05,
+7.065217391e+05,+1.902715772e-05,
+7.086956522e+05,+1.997261184e-05,
+7.108695652e+05,+2.377027197e-05,
+7.130434783e+05,+2.600509854e-05,
+7.152173913e+05,+2.399496236e-05,
+7.173913043e+05,+2.245132888e-05,
+7.195652174e+05,+2.551526397e-05,
+7.217391304e+05,+2.378328315e-05,
+7.239130435e+05,+2.088542314e-05,
+7.260869565e+05,+2.408813172e-05,
+7.282608696e+05,+2.064949091e-05,
+7.304347826e+05,+2.335654341e-05,
+7.326086957e+05,+1.620116579e-05,
+7.347826087e+05,+2.660958695e-05,
+7.369565217e+05,+2.119188422e-05,
+7.391304348e+05,+2.571752064e-05,
+7.413043478e+05,+2.463143863e-05,
+7.434782609e+05,+2.858678399e-05,
+7.456521739e+05,+3.281915401e-05,
+7.478260870e+05,+2.450048257e-05,
+7.500000000e+05,+2.561408898e-05,
+7.521739130e+05,+1.940971536e-05,
+7.543478261e+05,+2.193423150e-05,
+7.565217391e+05,+2.403316204e-05,
+7.586956522e+05,+2.657646471e-05,
+7.608695652e+05,+2.178774031e-05,
+7.630434783e+05,+2.029822681e-05,
+7.652173913e+05,+3.605615038e-05,
+7.673913043e+05,+2.101632001e-05,
+7.695652174e+05,+2.706705060e-05,
+7.717391304e+05,+2.822770494e-05,
+7.739130435e+05,+2.274180133e-05,
+7.760869565e+05,+2.588383981e-05,
+7.782608696e+05,+3.166480140e-05,
+7.804347826e+05,+2.288393081e-05,
+7.826086957e+05,+3.038953013e-05,
+7.847826087e+05,+2.441356555e-05,
+7.869565217e+05,+2.303667937e-05,
+7.891304348e+05,+2.295461252e-05,
+7.913043478e+05,+2.721177288e-05,
+7.934782609e+05,+2.868876006e-05,
+7.956521739e+05,+2.038175008e-05,
+7.978260870e+05,+2.099397680e-05,
+8.000000000e+05,+2.886255438e-05,
+8.021739130e+05,+2.266203898e-05,
+8.043478261e+05,+1.797733253e-05,
+8.065217391e+05,+2.881867827e-05,
+8.086956522e+05,+2.416847618e-05,
+8.108695652e+05,+2.659376816e-05,
+8.130434783e+05,+2.029601610e-05,
+8.152173913e+05,+2.848086721e-05,
+8.173913043e+05,+2.275534884e-05,
+8.195652174e+05,+2.638510688e-05,
+8.217391304e+05,+2.523033257e-05,
+8.239130435e+05,+2.667818139e-05,
+8.260869565e+05,+2.892666437e-05,
+8.282608696e+05,+2.506865296e-05,
+8.304347826e+05,+2.823432579e-05,
+8.326086957e+05,+2.535714794e-05,
+8.347826087e+05,+2.606054944e-05,
+8.369565217e+05,+2.316970006e-05,
+8.391304348e+05,+2.988570271e-05,
+8.413043478e+05,+2.957003813e-05,
+8.434782609e+05,+2.210957762e-05,
+8.456521739e+05,+2.488181293e-05,
+8.478260870e+05,+2.743111563e-05,
+8.500000000e+05,+2.319448106e-05,
+8.521739130e+05,+2.977497332e-05,
+8.543478261e+05,+2.102328059e-05,
+8.565217391e+05,+2.529739353e-05,
+8.586956522e+05,+2.271949948e-05,
+8.608695652e+05,+2.188677224e-05,
+8.630434783e+05,+2.083283914e-05,
+8.652173913e+05,+2.303924931e-05,
+8.673913043e+05,+2.939084781e-05,
+8.695652174e+05,+2.397625384e-05,
+8.717391304e+05,+2.461028827e-05,
+8.739130435e+05,+2.407015396e-05,
+8.760869565e+05,+3.162694234e-05,
+8.782608696e+05,+2.513568159e-05,
+8.804347826e+05,+2.466707631e-05,
+8.826086957e+05,+2.202417708e-05,
+8.847826087e+05,+2.815176325e-05,
+8.869565217e+05,+3.452669194e-05,
+8.891304348e+05,+2.768625163e-05,
+8.913043478e+05,+2.183807289e-05,
+8.934782609e+05,+2.722841369e-05,
+8.956521739e+05,+2.575911876e-05,
+8.978260870e+05,+2.711230804e-05,
+9.000000000e+05,+2.714318927e-05,
+9.021739130e+05,+2.609309746e-05,
+9.043478261e+05,+3.173948461e-05,
+9.065217391e+05,+2.370122117e-05,
+9.086956522e+05,+2.487160857e-05,
+9.108695652e+05,+2.388983256e-05,
+9.130434783e+05,+2.478566081e-05,
+9.152173913e+05,+2.273287397e-05,
+9.173913043e+05,+2.475600483e-05,
+9.195652174e+05,+2.073945037e-05,
+9.217391304e+05,+2.563610203e-05,
+9.239130435e+05,+2.241511185e-05,
+9.260869565e+05,+1.992974706e-05,
+9.282608696e+05,+2.118991120e-05,
+9.304347826e+05,+2.187228168e-05,
+9.326086957e+05,+2.284077562e-05,
+9.347826087e+05,+2.083659074e-05,
+9.369565217e+05,+2.247583510e-05,
+9.391304348e+05,+2.368815085e-05,
+9.413043478e+05,+2.895505928e-05,
