Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:20:21 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),6.570405,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.500000000e+06
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.400000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,22 kHz,30.40 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+2.624490790e-02,
+3.260869565e+03,+9.883474686e-05,
+6.521739130e+03,+6.171083044e-05,
+9.782608696e+03,+5.566866360e-05,
+1.304347826e+04,+4.111243713e-05,
+1.630434783e+04,+3.860100157e-05,
+1.956521739e+04,+2.827194776e-05,
+2.282608696e+04,+3.040036948e-05,
+2.608695652e+04,+2.067261143e-05,
+2.934782609e+04,+2.008640467e-05,
+3.260869565e+04,+1.853748242e-05,
+3.586956522e+04,+2.179091739e-05,
+3.913043478e+04,+2.236333145e-05,
+4.239130435e+04,+2.100310678e-05,
+4.565217391e+04,+1.674431566e-05,
+4.891304348e+04,+1.883701976e-05,
+5.217391304e+04,+2.022126145e-05,
+5.543478261e+04,+2.464305960e-05,
+5.869565217e+04,+2.228620803e-05,
+6.195652174e+04,+2.510688586e-05,
+6.521739130e+04,+1.834561366e-05,
+6.847826087e+04,+2.060548111e-05,
+7.173913043e+04,+2.183145616e-05,
+7.500000000e+04,+2.016244941e-05,
+7.826086957e+04,+2.069461262e-05,
+8.152173913e+04,+2.099252005e-05,
+8.478260870e+04,+2.195869406e-05,
+8.804347826e+04,+2.488791132e-05,
+9.130434783e+04,+2.199067718e-05,
+9.456521739e+04,+2.159746772e-05,
+9.782608696e+04,+2.083492531e-05,
+1.010869565e+05,+2.217899747e-05,
+1.043478261e+05,+1.971757849e-05,
+1.076086957e+05,+2.321643344e-05,
+1.108695652e+05,+1.743582398e-05,
+1.141304348e+05,+2.348792419e-05,
+1.173913043e+05,+1.927471691e-05,
+1.206521739e+05,+2.425547935e-05,
+1.239130435e+05,+2.423054378e-05,
+1.271739130e+05,+2.746511002e-05,
+1.304347826e+05,+2.071640067e-05,
+1.336956522e+05,+2.252870710e-05,
+1.369565217e+05,+2.391782065e-05,
+1.402173913e+05,+2.584453726e-05,
+1.434782609e+05,+2.466098871e-05,
+1.467391304e+05,+2.248794022e-05,
+1.500000000e+05,+2.492078966e-05,
+1.532608696e+05,+2.421669232e-05,
+1.565217391e+05,+2.302652381e-05,
+1.597826087e+05,+2.311493797e-05,
+1.630434783e+05,+2.305890773e-05,
+1.663043478e+05,+2.116152754e-05,
+1.695652174e+05,+2.500219838e-05,
+1.728260870e+05,+2.062670425e-05,
+1.760869565e+05,+2.024217775e-05,
+1.793478261e+05,+2.239551050e-05,
+1.826086957e+05,+2.391040576e-05,
+1.858695652e+05,+2.300535721e-05,
+1.891304348e+05,+2.639092465e-05,
+1.923913043e+05,+2.946795773e-05,
+1.956521739e+05,+2.210680069e-05,
+1.989130435e+05,+2.440811937e-05,
+2.021739130e+05,+2.601649920e-05,
+2.054347826e+05,+2.443838894e-05,
+2.086956522e+05,+2.253903904e-05,
+2.119565217e+05,+2.587165645e-05,
+2.152173913e+05,+2.104633898e-05,
+2.184782609e+05,+2.624441228e-05,
+2.217391304e+05,+2.530752805e-05,
+2.250000000e+05,+2.271746406e-05,
+2.282608696e+05,+2.587827021e-05,
+2.315217391e+05,+2.180554557e-05,
+2.347826087e+05,+2.074099886e-05,
+2.380434783e+05,+2.303340159e-05,
+2.413043478e+05,+1.934607430e-05,
+2.445652174e+05,+2.268826980e-05,
+2.478260870e+05,+2.321527110e-05,
+2.510869565e+05,+2.067642499e-05,
+2.543478261e+05,+2.422467031e-05,
+2.576086957e+05,+2.491402670e-05,
+2.608695652e+05,+2.824332965e-05,
+2.641304348e+05,+2.351054666e-05,
+2.673913043e+05,+2.140161815e-05,
+2.706521739e+05,+2.327793709e-05,
+2.739130435e+05,+2.577276582e-05,
+2.771739130e+05,+2.344573047e-05,
+2.804347826e+05,+2.352709384e-05,
+2.836956522e+05,+2.520660879e-05,
+2.869565217e+05,+2.444783574e-05,
+2.902173913e+05,+2.588709119e-05,
+2.934782609e+05,+3.065833750e-05,
+2.967391304e+05,+2.255084146e-05,
+3.000000000e+05,+3.340674906e-05,
+3.032608696e+05,+2.348355083e-05,
+3.065217391e+05,+2.838646112e-05,
+3.097826087e+05,+2.356587341e-05,
+3.130434783e+05,+2.181623571e-05,
+3.163043478e+05,+2.548258616e-05,
+3.195652174e+05,+2.331024460e-05,
+3.228260870e+05,+2.483907875e-05,
+3.260869565e+05,+2.091760680e-05,
+3.293478261e+05,+2.730870003e-05,
+3.326086957e+05,+2.505218781e-05,
+3.358695652e+05,+2.474346124e-05,
+3.391304348e+05,+2.394413790e-05,
+3.423913043e+05,+2.565015704e-05,
+3.456521739e+05,+2.335921059e-05,
+3.489130435e+05,+2.459338969e-05,
+3.521739130e+05,+2.452666536e-05,
+3.554347826e+05,+2.686135214e-05,
+3.586956522e+05,+2.279878318e-05,
+3.619565217e+05,+2.038090867e-05,
+3.652173913e+05,+2.564396198e-05,
+3.684782609e+05,+2.710068904e-05,
+3.717391304e+05,+2.802310389e-05,
+3.750000000e+05,+2.380058673e-05,
+3.782608696e+05,+2.399643775e-05,
+3.815217391e+05,+2.299810399e-05,
+3.847826087e+05,+2.773286108e-05,
+3.880434783e+05,+2.844039406e-05,
+3.913043478e+05,+2.817187394e-05,
+3.945652174e+05,+2.284145776e-05,
+3.978260870e+05,+2.177237822e-05,
+4.010869565e+05,+2.363808007e-05,
