Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:19:12 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),15.988364,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+3.000000000e+01,MAN
VBW,+3.000000000e+01,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-4.200000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,1.522 kHz,59.36 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+5.529829853e-02,
+2.173913043e+02,+1.265546548e-04,
+4.347826087e+02,+1.132988565e-04,
+6.521739130e+02,+7.056418861e-05,
+8.695652174e+02,+7.157653108e-05,
+1.086956522e+03,+9.471689356e-05,
+1.304347826e+03,+5.387817467e-05,
+1.521739130e+03,+5.936052845e-05,
+1.739130435e+03,+4.400094225e-05,
+1.956521739e+03,+4.147802373e-05,
+2.173913043e+03,+5.944072221e-05,
+2.391304348e+03,+4.390604560e-05,
+2.608695652e+03,+4.244288855e-05,
+2.826086957e+03,+6.281310968e-05,
+3.043478261e+03,+6.309163142e-05,
+3.260869565e+03,+5.743817793e-05,
+3.478260870e+03,+4.892135824e-05,
+3.695652174e+03,+5.848447833e-05,
+3.913043478e+03,+5.994180047e-05,
+4.130434783e+03,+4.260480721e-05,
+4.347826087e+03,+7.615048168e-05,
+4.565217391e+03,+5.053762092e-05,
+4.782608696e+03,+6.155654017e-05,
+5.000000000e+03,+4.988432297e-05,
+5.217391304e+03,+4.027937183e-05,
+5.434782609e+03,+3.312836121e-05,
+5.652173913e+03,+3.661447302e-05,
+5.869565217e+03,+3.282451632e-05,
+6.086956522e+03,+4.025616920e-05,
+6.304347826e+03,+2.764508643e-05,
+6.521739130e+03,+4.301890474e-05,
+6.739130435e+03,+3.765097935e-05,
+6.956521739e+03,+3.564029464e-05,
+7.173913043e+03,+4.053181793e-05,
+7.391304348e+03,+3.724864860e-05,
+7.608695652e+03,+3.007694386e-05,
+7.826086957e+03,+2.408265237e-05,
+8.043478261e+03,+1.633733789e-05,
+8.260869565e+03,+2.468348348e-05,
+8.478260870e+03,+1.651282921e-05,
+8.695652174e+03,+3.799315990e-05,
+8.913043478e+03,+2.185499782e-05,
+9.130434783e+03,+3.563450364e-05,
+9.347826087e+03,+2.974867468e-05,
+9.565217391e+03,+2.793001890e-05,
+9.782608696e+03,+2.596253307e-05,
+1.000000000e+04,+2.807397908e-05,
+1.021739130e+04,+3.109170132e-05,
+1.043478261e+04,+2.633805567e-05,
+1.065217391e+04,+3.291450866e-05,
+1.086956522e+04,+3.304927780e-05,
+1.108695652e+04,+4.083047263e-05,
+1.130434783e+04,+2.680775267e-05,
+1.152173913e+04,+3.038744814e-05,
+1.173913043e+04,+3.208036531e-05,
+1.195652174e+04,+3.118179043e-05,
+1.217391304e+04,+3.878640167e-05,
+1.239130435e+04,+2.326244375e-05,
+1.260869565e+04,+3.820123419e-05,
+1.282608696e+04,+3.619319512e-05,
+1.304347826e+04,+1.847882742e-05,
+1.326086957e+04,+1.908961553e-05,
+1.347826087e+04,+2.678896872e-05,
+1.369565217e+04,+2.444669764e-05,
+1.391304348e+04,+2.469723316e-05,
+1.413043478e+04,+1.947818466e-05,
+1.434782609e+04,+2.412681880e-05,
+1.456521739e+04,+2.766359590e-05,
+1.478260870e+04,+1.731093508e-05,
+1.500000000e+04,+1.433936716e-05,
+1.521739130e+04,+1.649888195e-05,
+1.543478261e+04,+2.396223202e-05,
+1.565217391e+04,+2.591612159e-05,
+1.586956522e+04,+2.305074674e-05,
+1.608695652e+04,+1.780677048e-05,
+1.630434783e+04,+2.781087265e-05,
+1.652173913e+04,+1.617103927e-05,
+1.673913043e+04,+2.195121167e-05,
+1.695652174e+04,+2.089735083e-05,
+1.717391304e+04,+1.742827529e-05,
+1.739130435e+04,+1.565489845e-05,
+1.760869565e+04,+1.787462440e-05,
+1.782608696e+04,+2.394110952e-05,
+1.804347826e+04,+1.647552280e-05,
+1.826086957e+04,+1.820568280e-05,
+1.847826087e+04,+1.153210819e-05,
+1.869565217e+04,+1.452081879e-05,
+1.891304348e+04,+2.223568241e-05,
+1.913043478e+04,+1.488746144e-05,
+1.934782609e+04,+2.265969025e-05,
+1.956521739e+04,+1.935304266e-05,
+1.978260870e+04,+1.641463800e-05,
+2.000000000e+04,+1.503025894e-05,
+2.021739130e+04,+7.797489341e-06,
+2.043478261e+04,+1.239868894e-05,
+2.065217391e+04,+1.650202703e-05,
+2.086956522e+04,+1.415428864e-05,
+2.108695652e+04,+2.091762517e-05,
+2.130434783e+04,+1.508843397e-05,
+2.152173913e+04,+1.267745004e-05,
+2.173913043e+04,+1.418928001e-05,
+2.195652174e+04,+1.137225980e-05,
+2.217391304e+04,+1.810933544e-05,
+2.239130435e+04,+1.851580655e-05,
+2.260869565e+04,+1.602196265e-05,
+2.282608696e+04,+1.438427632e-05,
+2.304347826e+04,+1.703987010e-05,
+2.326086957e+04,+1.398600163e-05,
+2.347826087e+04,+1.508751953e-05,
+2.369565217e+04,+1.432757030e-05,
+2.391304348e+04,+1.466181226e-05,
+2.413043478e+04,+1.568223125e-05,
+2.434782609e+04,+9.967727984e-06,
+2.456521739e+04,+1.241437041e-05,
+2.478260870e+04,+1.784680913e-05,
+2.500000000e+04,+1.638637411e-05,
+2.521739130e+04,+1.178201636e-05,
+2.543478261e+04,+1.250908539e-05,
+2.565217391e+04,+1.572881763e-05,
+2.586956522e+04,+1.421586437e-05,
+2.608695652e+04,+1.434191162e-05,
+2.630434783e+04,+9.389055452e-06,
+2.652173913e+04,+1.087283024e-05,
+2.673913043e+04,+1.249832221e-05,
