Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:20:25 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),6.570405,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.500000000e+06
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.400000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,22 kHz,30.40 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+2.624490790e-02,
+3.260869565e+03,+9.883474686e-05,
+6.521739130e+03,+6.171083044e-05,
+9.782608696e+03,+5.566866360e-05,
+1.304347826e+04,+4.111243713e-05,
+1.630434783e+04,+3.860100157e-05,
+1.956521739e+04,+2.827194776e-05,
+2.282608696e+04,+3.040036948e-05,
+2.608695652e+04,+2.067261143e-05,
+2.934782609e+04,+2.008640467e-05,
+3.260869565e+04,+1.853748242e-05,
+3.586956522e+04,+2.179091739e-05,
+3.913043478e+04,+2.236333145e-05,
+4.239130435e+04,+2.100310678e-05,
+4.565217391e+04,+1.674431566e-05,
+4.891304348e+04,+1.883701976e-05,
+5.217391304e+04,+2.022126145e-05,
+5.543478261e+04,+2.464305960e-05,
+5.869565217e+04,+2.228620803e-05,
+6.195652174e+04,+2.510688586e-05,
+6.521739130e+04,+1.834561366e-05,
+6.847826087e+04,+2.060548111e-05,
+7.173913043e+04,+2.183145616e-05,
+7.500000000e+04,+2.016244941e-05,
+7.826086957e+04,+2.097169418e-05,
+8.152173913e+04,+2.026466422e-05,
+8.478260870e+04,+1.949636288e-05,
+8.804347826e+04,+2.761911634e-05,
+9.130434783e+04,+2.336296568e-05,
+9.456521739e+04,+2.216353472e-05,
+9.782608696e+04,+1.827764140e-05,
+1.010869565e+05,+2.823611145e-05,
+1.043478261e+05,+1.677811849e-05,
+1.076086957e+05,+2.381338442e-05,
+1.108695652e+05,+1.961367785e-05,
+1.141304348e+05,+2.239193058e-05,
+1.173913043e+05,+2.108675203e-05,
+1.206521739e+05,+2.593340512e-05,
+1.239130435e+05,+2.148598232e-05,
+1.271739130e+05,+2.323663083e-05,
+1.304347826e+05,+2.421384215e-05,
+1.336956522e+05,+2.696645665e-05,
+1.369565217e+05,+2.455475248e-05,
+1.402173913e+05,+2.668317313e-05,
+1.434782609e+05,+2.085394842e-05,
+1.467391304e+05,+2.474985181e-05,
+1.500000000e+05,+1.712957965e-05,
+1.532608696e+05,+2.137445283e-05,
+1.565217391e+05,+2.261777246e-05,
+1.597826087e+05,+2.229850481e-05,
+1.630434783e+05,+2.577052476e-05,
+1.663043478e+05,+2.375046604e-05,
+1.695652174e+05,+2.479251959e-05,
+1.728260870e+05,+2.552508220e-05,
+1.760869565e+05,+2.449544731e-05,
+1.793478261e+05,+2.021307497e-05,
+1.826086957e+05,+2.521783659e-05,
+1.858695652e+05,+2.514042888e-05,
+1.891304348e+05,+1.970525103e-05,
+1.923913043e+05,+2.153105948e-05,
+1.956521739e+05,+2.359594822e-05,
+1.989130435e+05,+2.236234931e-05,
+2.021739130e+05,+2.529628253e-05,
+2.054347826e+05,+2.592231410e-05,
+2.086956522e+05,+2.070846848e-05,
+2.119565217e+05,+2.621657997e-05,
+2.152173913e+05,+2.498928859e-05,
+2.184782609e+05,+2.141263689e-05,
+2.217391304e+05,+2.744863798e-05,
+2.250000000e+05,+2.813789450e-05,
+2.282608696e+05,+2.286349775e-05,
+2.315217391e+05,+2.064332497e-05,
+2.347826087e+05,+2.194500400e-05,
+2.380434783e+05,+2.521918781e-05,
+2.413043478e+05,+2.156897388e-05,
+2.445652174e+05,+2.747546135e-05,
+2.478260870e+05,+2.227135521e-05,
+2.510869565e+05,+2.653527139e-05,
+2.543478261e+05,+2.429955720e-05,
+2.576086957e+05,+2.344568928e-05,
+2.608695652e+05,+2.240178658e-05,
+2.641304348e+05,+2.463353736e-05,
+2.673913043e+05,+2.171466174e-05,
+2.706521739e+05,+2.412147896e-05,
+2.739130435e+05,+2.728616151e-05,
+2.771739130e+05,+2.471342160e-05,
+2.804347826e+05,+2.328523765e-05,
+2.836956522e+05,+2.791035053e-05,
+2.869565217e+05,+2.339121998e-05,
+2.902173913e+05,+2.689641225e-05,
+2.934782609e+05,+2.355134686e-05,
+2.967391304e+05,+2.174760745e-05,
+3.000000000e+05,+2.615103292e-05,
+3.032608696e+05,+2.854964582e-05,
+3.065217391e+05,+2.789329294e-05,
+3.097826087e+05,+2.927688544e-05,
+3.130434783e+05,+2.551185761e-05,
+3.163043478e+05,+2.500788695e-05,
+3.195652174e+05,+2.195308203e-05,
+3.228260870e+05,+2.193471316e-05,
+3.260869565e+05,+2.604155707e-05,
+3.293478261e+05,+2.587611089e-05,
+3.326086957e+05,+2.423686575e-05,
+3.358695652e+05,+2.318995864e-05,
+3.391304348e+05,+2.539515163e-05,
+3.423913043e+05,+2.765815351e-05,
+3.456521739e+05,+2.365342883e-05,
+3.489130435e+05,+2.464046226e-05,
+3.521739130e+05,+2.536184795e-05,
+3.554347826e+05,+2.884618169e-05,
+3.586956522e+05,+2.053212937e-05,
+3.619565217e+05,+2.623199008e-05,
+3.652173913e+05,+2.860640137e-05,
+3.684782609e+05,+2.142249462e-05,
+3.717391304e+05,+2.277538517e-05,
+3.750000000e+05,+2.609559578e-05,
+3.782608696e+05,+2.594201702e-05,
+3.815217391e+05,+2.755925982e-05,
+3.847826087e+05,+2.732825647e-05,
+3.880434783e+05,+2.573259219e-05,
+3.913043478e+05,+2.332542147e-05,
+3.945652174e+05,+2.666426569e-05,
+3.978260870e+05,+2.126787316e-05,
+4.010869565e+05,+2.321523031e-05,
