Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:19:17 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),15.988364,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+1.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+3.000000000e+01,MAN
VBW,+3.000000000e+01,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-4.200000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,1.522 kHz,66.00 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+5.530395141e-02,
+2.173913043e+02,+8.298964017e-05,
+4.347826087e+02,+3.632565523e-05,
+6.521739130e+02,+9.584386469e-05,
+8.695652174e+02,+7.022047485e-05,
+1.086956522e+03,+7.711043907e-05,
+1.304347826e+03,+8.918844567e-05,
+1.521739130e+03,+6.600293982e-05,
+1.739130435e+03,+5.041671274e-05,
+1.956521739e+03,+4.407575285e-05,
+2.173913043e+03,+4.413599528e-05,
+2.391304348e+03,+3.628302030e-05,
+2.608695652e+03,+5.457131296e-05,
+2.826086957e+03,+3.543262824e-05,
+3.043478261e+03,+3.848389930e-05,
+3.260869565e+03,+4.711117305e-05,
+3.478260870e+03,+5.562076468e-05,
+3.695652174e+03,+5.852399583e-05,
+3.913043478e+03,+4.962734486e-05,
+4.130434783e+03,+5.897531984e-05,
+4.347826087e+03,+5.438201666e-05,
+4.565217391e+03,+4.562753176e-05,
+4.782608696e+03,+4.960093574e-05,
+5.000000000e+03,+5.156038100e-05,
+5.217391304e+03,+3.156768751e-05,
+5.434782609e+03,+5.329186333e-05,
+5.652173913e+03,+3.263910467e-05,
+5.869565217e+03,+3.718353140e-05,
+6.086956522e+03,+3.391567408e-05,
+6.304347826e+03,+3.507833510e-05,
+6.521739130e+03,+3.215738443e-05,
+6.739130435e+03,+3.266219145e-05,
+6.956521739e+03,+3.221734997e-05,
+7.173913043e+03,+3.432696145e-05,
+7.391304348e+03,+4.257031751e-05,
+7.608695652e+03,+2.522649893e-05,
+7.826086957e+03,+2.932887754e-05,
+8.043478261e+03,+3.561973303e-05,
+8.260869565e+03,+2.677087985e-05,
+8.478260870e+03,+2.418884316e-05,
+8.695652174e+03,+3.496620628e-05,
+8.913043478e+03,+3.174701280e-05,
+9.130434783e+03,+3.873111358e-05,
+9.347826087e+03,+2.538634219e-05,
+9.565217391e+03,+2.565592543e-05,
+9.782608696e+03,+4.324147342e-05,
+1.000000000e+04,+2.689823143e-05,
+1.021739130e+04,+2.448303573e-05,
+1.043478261e+04,+1.838901203e-05,
+1.065217391e+04,+3.371956707e-05,
+1.086956522e+04,+3.625645062e-05,
+1.108695652e+04,+2.254678121e-05,
+1.130434783e+04,+2.134240984e-05,
+1.152173913e+04,+2.867296448e-05,
+1.173913043e+04,+3.190848880e-05,
+1.195652174e+04,+2.145088916e-05,
+1.217391304e+04,+3.005233182e-05,
+1.239130435e+04,+3.729972361e-05,
+1.260869565e+04,+2.151546260e-05,
+1.282608696e+04,+3.130457009e-05,
+1.304347826e+04,+2.037466186e-05,
+1.326086957e+04,+2.399886180e-05,
+1.347826087e+04,+2.014706528e-05,
+1.369565217e+04,+2.354383878e-05,
+1.391304348e+04,+1.617845551e-05,
+1.413043478e+04,+1.625046415e-05,
+1.434782609e+04,+1.876547952e-05,
+1.456521739e+04,+2.424668190e-05,
+1.478260870e+04,+2.345495837e-05,
+1.500000000e+04,+1.749585485e-05,
+1.521739130e+04,+2.021060725e-05,
+1.543478261e+04,+2.187868017e-05,
+1.565217391e+04,+1.590289803e-05,
+1.586956522e+04,+2.312807799e-05,
+1.608695652e+04,+2.022959339e-05,
+1.630434783e+04,+2.759988509e-05,
+1.652173913e+04,+2.342747075e-05,
+1.673913043e+04,+2.410788042e-05,
+1.695652174e+04,+2.099469598e-05,
+1.717391304e+04,+1.007400224e-05,
+1.739130435e+04,+1.804315780e-05,
+1.760869565e+04,+1.807407299e-05,
+1.782608696e+04,+2.082733191e-05,
+1.804347826e+04,+1.626150160e-05,
+1.826086957e+04,+1.761755865e-05,
+1.847826087e+04,+2.158142465e-05,
+1.869565217e+04,+1.442747581e-05,
+1.891304348e+04,+1.368404310e-05,
+1.913043478e+04,+1.517833194e-05,
+1.934782609e+04,+2.162814580e-05,
+1.956521739e+04,+1.736081953e-05,
+1.978260870e+04,+1.591416068e-05,
+2.000000000e+04,+2.522855972e-05,
+2.021739130e+04,+1.477906032e-05,
+2.043478261e+04,+1.368195185e-05,
+2.065217391e+04,+1.776605698e-05,
+2.086956522e+04,+1.586411277e-05,
+2.108695652e+04,+1.806667645e-05,
+2.130434783e+04,+1.060678181e-05,
+2.152173913e+04,+1.390662202e-05,
+2.173913043e+04,+1.864363908e-05,
+2.195652174e+04,+2.081206199e-05,
+2.217391304e+04,+1.304633182e-05,
+2.239130435e+04,+1.616815610e-05,
+2.260869565e+04,+1.800095512e-05,
+2.282608696e+04,+1.005299090e-05,
+2.304347826e+04,+1.513806905e-05,
+2.326086957e+04,+1.806261440e-05,
+2.347826087e+04,+1.657627663e-05,
+2.369565217e+04,+1.113189362e-05,
+2.391304348e+04,+1.212285188e-05,
+2.413043478e+04,+1.870626741e-05,
+2.434782609e+04,+1.081928014e-05,
+2.456521739e+04,+1.122210616e-05,
+2.478260870e+04,+1.919389245e-05,
+2.500000000e+04,+1.091860555e-05,
+2.521739130e+04,+7.672021423e-06,
+2.543478261e+04,+1.284224759e-05,
+2.565217391e+04,+1.175010217e-05,
+2.586956522e+04,+1.459011354e-05,
+2.608695652e+04,+1.686483525e-05,
+2.630434783e+04,+1.616703421e-05,
+2.652173913e+04,+1.527647913e-05,
+2.673913043e+04,+1.564377806e-05,
