Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
14:18:21 02.21.2018
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),2.190635,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+5.000000000e+05
Frequency Offset,+0.000000000e+00
Average Type,Power
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Normal
PreAmp State,OFF
Ref Level,-3.900000000e+01
Attenuation,10,MAN
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,7.6 kHz,57.56 $V
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Average,
Trace Data
+0.000000000e+00,+4.525017625e-02,
+1.086956522e+03,+9.394021478e-05,
+2.173913043e+03,+1.027043969e-04,
+3.260869565e+03,+1.391166778e-04,
+4.347826087e+03,+9.810664905e-05,
+5.434782609e+03,+7.871506858e-05,
+6.521739130e+03,+5.966371382e-05,
+7.608695652e+03,+5.756328301e-05,
+8.695652174e+03,+5.004112603e-05,
+9.782608696e+03,+4.591821553e-05,
+1.086956522e+04,+7.609585376e-05,
+1.195652174e+04,+6.034916934e-05,
+1.304347826e+04,+4.562172086e-05,
+1.413043478e+04,+3.484809917e-05,
+1.521739130e+04,+4.231554369e-05,
+1.630434783e+04,+4.201543614e-05,
+1.739130435e+04,+2.711997741e-05,
+1.847826087e+04,+4.312676867e-05,
+1.956521739e+04,+3.061017200e-05,
+2.065217391e+04,+3.059705398e-05,
+2.173913043e+04,+2.768476823e-05,
+2.282608696e+04,+3.124814240e-05,
+2.391304348e+04,+2.331786253e-05,
+2.500000000e+04,+3.021158280e-05,
+2.608695652e+04,+2.168746101e-05,
+2.717391304e+04,+1.966088760e-05,
+2.826086957e+04,+1.586703928e-05,
+2.934782609e+04,+2.438309114e-05,
+3.043478261e+04,+2.340137194e-05,
+3.152173913e+04,+2.234721020e-05,
+3.260869565e+04,+2.576651850e-05,
+3.369565217e+04,+1.643046225e-05,
+3.478260870e+04,+3.223917561e-05,
+3.586956522e+04,+2.148860576e-05,
+3.695652174e+04,+1.916690289e-05,
+3.804347826e+04,+2.768063459e-05,
+3.913043478e+04,+1.342121901e-05,
+4.021739130e+04,+1.801541257e-05,
+4.130434783e+04,+2.567921497e-05,
+4.239130435e+04,+1.579341381e-05,
+4.347826087e+04,+2.336721396e-05,
+4.456521739e+04,+1.608229499e-05,
+4.565217391e+04,+2.388653829e-05,
+4.673913043e+04,+2.318299339e-05,
+4.782608696e+04,+2.308144137e-05,
+4.891304348e+04,+1.669932669e-05,
+5.000000000e+04,+1.855923258e-05,
+5.108695652e+04,+2.465633195e-05,
+5.217391304e+04,+2.315840774e-05,
+5.326086957e+04,+2.669290151e-05,
+5.434782609e+04,+2.361757523e-05,
+5.543478261e+04,+1.846503607e-05,
+5.652173913e+04,+2.087370394e-05,
+5.760869565e+04,+1.604501698e-05,
+5.869565217e+04,+1.723496909e-05,
+5.978260870e+04,+2.339759013e-05,
+6.086956522e+04,+2.155484520e-05,
+6.195652174e+04,+1.722440557e-05,
+6.304347826e+04,+1.962608593e-05,
+6.413043478e+04,+2.067322881e-05,
+6.521739130e+04,+2.575911876e-05,
+6.630434783e+04,+2.490787815e-05,
+6.739130435e+04,+2.557440979e-05,
+6.847826087e+04,+1.794845879e-05,
+6.956521739e+04,+1.692573959e-05,
+7.065217391e+04,+1.634629485e-05,
+7.173913043e+04,+2.369204205e-05,
+7.282608696e+04,+1.790724832e-05,
+7.391304348e+04,+1.553323958e-05,
+7.500000000e+04,+1.904650428e-05,
+7.608695652e+04,+2.505606099e-05,
+7.717391304e+04,+2.584535451e-05,
+7.826086957e+04,+1.938988065e-05,
+7.934782609e+04,+2.270519550e-05,
+8.043478261e+04,+2.595630815e-05,
+8.152173913e+04,+2.394340180e-05,
+8.260869565e+04,+2.525221544e-05,
+8.369565217e+04,+1.703231331e-05,
+8.478260870e+04,+2.133579337e-05,
+8.586956522e+04,+2.637305822e-05,
+8.695652174e+04,+2.446328054e-05,
+8.804347826e+04,+1.993265320e-05,
+8.913043478e+04,+2.031035434e-05,
+9.021739130e+04,+2.250801787e-05,
+9.130434783e+04,+2.427598361e-05,
+9.239130435e+04,+2.429876749e-05,
+9.347826087e+04,+1.825999001e-05,
+9.456521739e+04,+2.033938280e-05,
+9.565217391e+04,+2.484348634e-05,
+9.673913043e+04,+2.186256263e-05,
+9.782608696e+04,+2.571781430e-05,
+9.891304348e+04,+2.899341242e-05,
+1.000000000e+05,+1.587462286e-05,
+1.010869565e+05,+1.998759942e-05,
+1.021739130e+05,+1.824522410e-05,
+1.032608696e+05,+2.708155711e-05,
+1.043478261e+05,+1.746536106e-05,
+1.054347826e+05,+2.073158219e-05,
+1.065217391e+05,+1.360164537e-05,
+1.076086957e+05,+2.296491790e-05,
+1.086956522e+05,+2.549693774e-05,
+1.097826087e+05,+2.042058206e-05,
+1.108695652e+05,+2.615068837e-05,
+1.119565217e+05,+2.012640635e-05,
+1.130434783e+05,+1.948826446e-05,
+1.141304348e+05,+2.573376755e-05,
+1.152173913e+05,+1.815893650e-05,
+1.163043478e+05,+2.706022809e-05,
+1.173913043e+05,+2.651795942e-05,
+1.184782609e+05,+2.210406294e-05,
+1.195652174e+05,+2.233329754e-05,
+1.206521739e+05,+3.031102041e-05,
+1.217391304e+05,+2.532996734e-05,
+1.228260870e+05,+2.105244038e-05,
+1.239130435e+05,+1.915545812e-05,
+1.250000000e+05,+2.403518868e-05,
+1.260869565e+05,+2.561703646e-05,
+1.271739130e+05,+3.068201746e-05,
+1.282608696e+05,+2.561910665e-05,
+1.293478261e+05,+2.109764571e-05,
+1.304347826e+05,+2.258231836e-05,
+1.315217391e+05,+1.858092666e-05,
+1.326086957e+05,+2.318853284e-05,
+1.336956522e+05,+2.234240160e-05,
